gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z;label
31.374.046;28.549.618;-0.3740458;-0.028320312;0.040283204;0.8647461;0
31.221.372;17.328.244;-0.259542;-0.02758789;0.04736328;0.8676758;0
31.374.046;13.587.786;-0.54198476;-0.02734375;0.040527344;0.86621096;0
31.145.038;26.564.886;-0.3129771;-0.025878906;0.04321289;0.873535168;0
31.450.382;2.389.313;-0.26717558;-0.022216796;0.043701172;0.8652344;0
32.442.748;19.923.664;-0.244274816;-0.022949218;0.044189452;0.86621096;0
3.183.206;3.351.145;-0.32061068;-0.025146484;0.043701172;0.85717776;0
31.755.726;30.229.008;-0.52671752;-0.02709961;0.044921876;0.86157224;0
30.839.694;2.038.168;-0.33587788;-0.0214843736;0.04296875;0.86083984;0
32.519.084;03.00;-0.32061068;-0.024414062;0.045654296;0.86328124;0
3.221.374;27.633.588;-0.396946584;-0.027832032;0.041015624;0.8691406;0
3.427.481;18.931.298;-0.45038168;-0.013427734;0.040771484;0.8701172;0
31.603.052;240.458;-0.53435116;-0.022216796;0.052978516;0.86621096;0
31.603.052;34.580.152;-0.32824428;-0.029785156;0.036865236;0.8688965;0
31.603.052;30.992.368;-0.198473292;-0.01928711;0.045166016;0.86499024;0
32.290.078;36.412.212;-0.244274816;-0.024169922;0.04248047;0.871582032;0
31.145.038;32.366.412;-0.35114504;-0.02319336;0.044921876;0.8730469;0
34.961.832;2.335.878;-0.480916032;-0.026123046;0.040771484;0.8745117;0
3.183.206;40.076.336;-0.14503818;-0.018554688;0.040283204;0.8630371;0
31.603.052;3.351.145;-0.099236648;-0.022460938;0.045166016;0.8654785;0
31.908.398;19.312.977;-0.3816794;-0.020751954;0.043945312;0.8654785;0
30.152.672;2.778.626;-0.29007636;-0.0234375;0.0390625;0.87597656;0
329.771;2.778.626;-0.236641232;-0.025634766;0.044921876;0.8618164;0
31.221.372;34.580.152;-0.54198476;-0.027832032;0.04248047;0.86987304;0
3.183.206;35.038.168;-0.54198476;-0.025146484;0.049560548;0.8691406;0
31.068.702;34.885.496;-0.229007632;-0.03125;0.044677736;0.88012696;0
31.755.726;35.038.168;-0.396946584;-0.029785156;0.04272461;0.8666992;0
32.137.404;27.633.588;-0.35114504;-0.03100586;0.041992188;0.876709;0
3.129.771;3.610.687;-0.389312984;-0.03173828;0.044677736;0.8647461;0
31.755.726;2.908.397;-0.65648852;-0.033691408;0.0397949216;0.87231448;0
3.183.206;2.312.977;-0.40458016;-0.026123046;0.043945312;0.86816408;0
33.053.436;2.610.687;-0.32824428;-0.03149414;0.040039064;0.86816408;0
3.129.771;31.526.718;-0.65648852;-0.028564454;0.044921876;0.86694332;0
31.984.732;19.770.992;-0.5038168;-0.027832032;0.045654296;0.8676758;0
33.816.792;179.389.316;-0.27480916;-0.03955078;0.043945312;0.8642578;0
3.129.771;23.740.458;-0.54198476;-0.030029296;0.041503908;0.87524416;0
31.450.382;28.778.628;-0.236641232;-0.030273438;0.043945312;0.8725586;0
339.694.668;2.832.061;-0.366412232;-0.03466797;0.043945312;0.8605957;0
30.610.688;28.473.282;-0.33587788;-0.032958984;0.04296875;0.86499024;0
3.351.145;26.183.208;-0.458015268;-0.028076172;0.04321289;0.8696289;0
3.091.603;37.480.916;-0.16030534;-0.032714844;0.03930664;0.8679199;0
32.519.084;336.641.232;-0.21374046;-0.036865236;0.040771484;0.86621096;0
31.908.398;2.740.458;-0.244274816;-0.031982422;0.044433592;0.864501936;0
329.771;30.992.368;-0.5114504;-0.031982422;0.048339844;0.86572264;0
3.351.145;25.648.854;-0.244274816;-0.032470704;0.043945312;0.8625488;0
31.221.372;28.015.268;-0.3129771;-0.033691408;0.04321289;0.864501936;0
3.221.374;31.221.372;-0.27480916;-0.029541016;0.043701172;0.871582032;0
31.908.398;270.229;-0.32061068;-0.03540039;0.044677736;0.8676758;0
31.374.046;25.877.862;-0.27480916;-0.032714844;0.0461425784;0.8688965;0
32.671.756;32.824.428;-0.480916032;-0.041259764;0.04736328;0.8703613;0
3.183.206;28.854.962;-0.14503818;-0.032470704;0.044189452;0.8742676;0
3.076.336;32.824.428;-0.35114504;-0.036376952;0.040283204;0.8720703;0
3.259.542;03.00;-0.366412232;-0.03491211;0.040771484;0.8588867;0
31.068.702;27.328.244;-0.198473292;-0.034423828;0.041503908;0.86865232;0
31.984.732;240.458;-0.4961832;-0.033935548;0.038085936;0.8552246;0
3.183.206;3.221.374;-0.32824428;-0.032714844;0.05053711;0.8569336;0
3.129.771;17.557.252;-0.366412232;-0.030761718;0.04321289;0.8666992;0
31.526.718;2.610.687;-0.3129771;-0.036376952;0.041015624;0.8718262;0
32.290.078;28.625.954;-0.35114504;-0.04248047;0.041748048;0.8652344;0
31.603.052;2.946.565;-0.419847336;-0.03930664;0.045654296;0.8691406;0
32.519.084;28.549.618;-0.412213736;-0.048583984;0.043945312;0.87597656;0
3.351.145;29.312.978;-0.3053435;-0.038085936;0.044189452;0.861084;0
32.366.412;26.335.878;-0.480916032;-0.037597656;0.045410156;0.859375;0
33.053.436;2.519.084;-0.2977099;-0.034179688;0.04296875;0.858398464;0
33.435.114;28.473.282;-0.32061068;-0.033691408;0.038085936;0.8684082;0
33.587.788;28.549.618;-0.2977099;-0.03564453;0.04296875;0.86328124;0
3.206.107;26.183.208;-0.35877864;-0.045410156;0.040527344;0.871582032;0
3.183.206;2.908.397;-0.58778624;-0.035888672;0.040771484;0.8725586;0
3.167.939;24.503.818;-0.1908397;-0.043701172;0.041992188;0.87402344;0
32.519.084;24.122.138;-0.458015268;-0.043945312;0.041503908;0.8676758;0
32.671.756;30.839.694;-0.4351145;-0.04272461;0.0390625;0.867431632;0
32.137.404;24.961.832;-0.389312984;-0.042236328;0.044677736;0.8774414;0
30.305.342;26.183.208;-0.259542;-0.037841796;0.037353516;0.8652344;0
33.282.442;28.244.274;-0.27480916;-0.03540039;0.043945312;0.86328124;0
31.450.382;270.229;-0.412213736;-0.036621092;0.041748048;0.8666992;0
31.221.372;2.793.893;-0.2977099;-0.042236328;0.040283204;0.8679199;0
34.198.472;24.122.138;-0.33587788;-0.037353516;0.044677736;0.8688965;0
32.671.756;25.801.528;-0.4427481;-0.041259764;0.045166016;0.8635254;0
32.442.748;2.572.519;-0.419847336;-0.043701172;0.037841796;0.8769531;0
31.221.372;3.053.435;-0.35877864;-0.037841796;0.041503908;0.8623047;0
30.687.022;26.335.878;-0.21374046;-0.041748048;0.043945312;0.8647461;0
3.183.206;29.007.632;-0.2977099;-0.034423828;0.040771484;0.86157224;0
30.305.342;25.496.182;-0.14503818;-0.047851564;0.041992188;0.8666992;0
3.129.771;30.458.016;-0.13740458;-0.045166016;0.044189452;0.8654785;0
31.984.732;29.312.978;-0.17557252;-0.040527344;0.040527344;0.858398464;0
31.526.718;30.992.368;-0.33587788;-0.036376952;0.044921876;0.8684082;0
31.984.732;2.480.916;-0.198473292;-0.040283204;0.042236328;0.8757324;0
3.091.603;28.549.618;-0.396946584;-0.0390625;0.044433592;0.86865232;0
32.366.412;26.335.878;-0.3816794;-0.044677736;0.041748048;0.873291;0
32.519.084;25.801.528;-0.4961832;-0.03564453;0.036376952;0.85595704;0
31.450.382;27.862.596;-0.198473292;-0.03515625;0.04272461;0.8659668;0
3.091.603;28.778.628;-0.396946584;-0.040039064;0.0476074216;0.8630371;0
30.687.022;2.534.351;-0.3816794;-0.03930664;0.044921876;0.8618164;0
31.755.726;2.778.626;-0.2519084;-0.0390625;0.044189452;0.86621096;0
3.183.206;31.221.372;-0.465648868;-0.0476074216;0.041015624;0.8630371;0
3.091.603;24.961.832;-0.412213736;-0.040283204;0.041748048;0.864501936;0
31.145.038;2.259.542;-0.2977099;-0.052246092;0.045898436;0.8527832;0
337.404.568;26.564.886;-0.4274809;-0.042236328;0.04321289;0.8618164;0
31.908.398;26.030.534;-0.35877864;-0.03881836;0.042236328;0.86206056;0
31.984.732;26.183.208;-0.32824428;-0.036376952;0.0476074216;0.85961912;0
3.091.603;28.549.618;-0.5114504;-0.040527344;0.04638672;0.8640137;0
32.137.404;27.633.588;-0.259542;-0.037109376;0.037109376;0.869384768;0
3.206.107;25.801.528;-0.396946584;-0.0461425784;0.044921876;0.8647461;0
32.137.404;25.496.182;-0.27480916;-0.041992188;0.044189452;0.87402344;0
3.221.374;3.687.023;-0.343511468;-0.043945312;0.045654296;0.86376952;0
3.221.374;32.519.084;-0.4427481;-0.04711914;0.049316408;0.86376952;0
31.450.382;27.862.596;-0.33587788;-0.04345703;0.040771484;0.8840332;0
32.824.428;27.557.252;-0.4274809;-0.040527344;0.041748048;0.8647461;0
32.671.756;29.770.992;-0.3129771;-0.045898436;0.04321289;0.876709;0
3.259.542;29.312.978;-0.32824428;-0.041259764;0.041992188;0.85058592;0
31.068.702;27.328.244;-0.29007636;-0.044921876;0.0390625;0.861084;0
32.366.412;23.816.792;-0.14503818;-0.04663086;0.045898436;0.87524416;0
32.366.412;23.053.436;-0.6793893;-0.043701172;0.048339844;0.86816408;0
3.167.939;28.778.628;-0.5954198;-0.044433592;0.04296875;0.8730469;0
32.366.412;3.183.206;-0.610687;-0.040527344;0.0476074216;0.86499024;0
32.137.404;31.526.718;-0.244274816;-0.04663086;0.040039064;0.86376952;0
3.183.206;336.641.232;-0.32061068;-0.048339844;0.041503908;0.85961912;0
33.816.792;23.664.122;-0.206106868;-0.05126953;0.04272461;0.85717776;0
32.748.092;2.961.832;-0.229007632;-0.05029297;0.0461425784;0.86694332;0
31.755.726;26.030.534;-0.29007636;-0.048339844;0.041748048;0.86694332;0
31.755.726;29.694.658;-0.3129771;-0.045654296;0.03930664;0.86157224;0
31.526.718;339.694.668;-0.33587788;-0.053222656;0.0397949216;0.869384768;0
3.335.878;29.923.664;-0.389312984;-0.050048828;0.040771484;0.8654785;0
31.145.038;34.198.472;-0.4351145;-0.0476074216;0.041748048;0.8635254;0
31.068.702;31.984.732;-0.4351145;-0.045654296;0.046875;0.86157224;0
3.259.542;30.305.342;-0.343511468;-0.050048828;0.045166016;0.8774414;0
32.137.404;24.885.496;-0.3053435;-0.044677736;0.048339844;0.86206056;0
32.290.078;29.007.632;-0.366412232;-0.045898436;0.04638672;0.873291;0
3.183.206;3.206.107;-0.60305348;-0.045898436;0.042236328;0.8623047;0
31.755.726;2.816.794;-0.259542;-0.048339844;0.040771484;0.8623047;0
32.442.748;23.816.792;-0.366412232;-0.046875;0.04638672;0.8664551;0
3.259.542;61.297.708;-0.35877864;-0.03930664;0.049560548;0.88623048;0
3.076.336;54.503.816;-0.5801527;-0.061523436;0.041503908;0.86083984;0
31.603.052;20.229.008;-0.4351145;-0.0546875;0.043945312;0.87402344;0
3.259.542;-0.9389313;-0.03816794;-0.07495117;0.044189452;0.88720708;0
30.458.016;0.6335878;-0.16793894;-0.056640624;0.044433592;0.86694332;0
31.374.046;60.076.336;-0.60305348;-0.052246092;0.03955078;0.8708496;0
32.366.412;44.274.808;-0.3053435;-0.053466796;0.045898436;0.8742676;0
31.068.702;53.206.104;-0.419847336;-0.06298828;0.03930664;0.8625488;0
3.167.939;44.961.832;-0.52671752;-0.0625;0.043945312;0.8625488;0
31.908.398;24.732.824;-0.488549632;-0.05859375;0.043701172;0.8635254;0
32.137.404;329.771;-0.3816794;-0.05908203;0.04638672;0.873291;0
32.290.078;2.793.893;-0.33587788;-0.05908203;0.048095704;0.86865232;0
31.526.718;32.900.762;-0.52671752;-0.06225586;0.041503908;0.87402344;0
3.259.542;28.244.274;-0.129771;-0.059814452;0.04321289;0.86376952;0
30.305.342;3.038.168;-0.519084;-0.0625;0.04711914;0.869384768;0
31.374.046;25.267.176;-0.4274809;-0.061035156;0.0476074216;0.8676758;0
3.206.107;28.854.962;-0.33587788;-0.060058592;0.041992188;0.8725586;0
31.603.052;30.992.368;-0.488549632;-0.052001952;0.048339844;0.8520508;0
32.290.078;27.709.922;-0.35877864;-0.063964844;0.044189452;0.86987304;0
31.145.038;0.32824428;-0.045801528;-0.060302736;0.045410156;0.8647461;0
31.374.046;21.374.046;-0.35877864;-0.05908203;0.037597656;0.860351536;0
31.145.038;4.183.206;-0.488549632;-0.059814452;0.049072264;0.859375;0
32.824.428;41.603.056;-0.412213736;-0.05908203;0.04321289;0.86816408;0
31.908.398;8.763.359;-0.396946584;-0.049072264;0.044921876;0.8676758;0
3.312.977;20.687.022;-0.28244276;-0.057861328;0.045166016;0.86206056;0
32.137.404;31.374.046;-0.221374052;-0.0554199232;0.03857422;0.860351536;0
3.091.603;32.366.412;-0.221374052;-0.05908203;0.043701172;0.86157224;0
3.221.374;27.709.922;-0.32061068;-0.057861328;0.04248047;0.87402344;0
30.992.368;43.129.772;-0.45038168;-0.07104492;0.03881836;0.86572264;0
3.335.878;2.832.061;-0.343511468;-0.059814452;0.044921876;0.8586426;0
3.221.374;3.038.168;-0.4274809;-0.068359376;0.03881836;0.86279292;0
3.167.939;29.923.664;-0.60305348;-0.06542969;0.044921876;0.87060544;0
32.824.428;23.206.108;-0.343511468;-0.064453124;0.041503908;0.86694332;0
3.206.107;27.251.908;-0.465648868;-0.06201172;0.040771484;0.8652344;0
33.282.442;33.206.108;-0.519084;-0.06201172;0.041748048;0.8640137;0
3.335.878;2.664.122;-0.40458016;-0.064697268;0.041748048;0.861084;0
32.671.756;21.221.372;-0.40458016;-0.06738281;0.044189452;0.8640137;0
33.206.108;30.458.016;-0.6335878;-0.06567383;0.036621092;0.8601074;0
32.748.092;31.145.038;-0.366412232;-0.05883789;0.04321289;0.8598633;0
32.900.762;31.984.732;-0.32061068;-0.067871096;0.04296875;0.8725586;0
3.076.336;32.366.412;-0.6335878;-0.06738281;0.045166016;0.8701172;0
31.450.382;35.114.504;-0.27480916;-0.06738281;0.04638672;0.864501936;0
32.900.762;30.687.022;-0.35877864;-0.0715332;0.04248047;0.8605957;0
32.442.748;26.412.212;-0.5648855;-0.072753908;0.040283204;0.8642578;0
3.129.771;270.229;-0.488549632;-0.07055664;0.040039064;0.86621096;0
31.603.052;28.854.962;-0.8244275;-0.06542969;0.047851564;0.8725586;0
30.992.368;22.366.412;-0.5954198;-0.06347656;0.040527344;0.861084;0
31.145.038;27.862.596;-0.412213736;-0.06591797;0.040283204;0.8623047;0
3.076.336;2.908.397;-0.28244276;-0.06958008;0.04248047;0.8522949;0
30.687.022;31.603.052;-0.32824428;-0.07055664;0.045898436;0.8557129;0
3.091.603;25.648.854;-0.343511468;-0.06591797;0.037109376;0.86206056;0
3.076.336;28.931.298;-0.519084;-0.068359376;0.045898436;0.855468736;0
3.206.107;2.961.832;-0.45038168;-0.06713867;0.04248047;0.8654785;0
30.305.342;25.648.854;-0.54198476;-0.06323242;0.040771484;0.86279292;0
31.755.726;26.183.208;-0.366412232;-0.06567383;0.04272461;0.855468736;0
32.366.412;25.038.168;-0.465648868;-0.067871096;0.048828124;0.8635254;0
31.145.038;30.305.342;-0.27480916;-0.07470703;0.048339844;0.8625488;0
3.351.145;2.816.794;-0.35114504;-0.067871096;0.036132812;0.86157224;0
3.129.771;270.229;-0.488549632;-0.06933594;0.04321289;0.859375;0
32.290.078;27.175.572;-0.5038168;-0.067871096;0.045898436;0.857666;0
3.206.107;20.610.688;-0.66412216;-0.06762695;0.046875;0.869384768;0
31.221.372;26.946.564;-0.488549632;-0.068847656;0.043701172;0.858398464;0
3.206.107;28.015.268;-0.35114504;-0.06689453;0.041992188;0.860351536;0
32.671.756;27.862.596;-0.35114504;-0.0715332;0.048828124;0.8640137;0
30.839.694;27.862.596;-0.28244276;-0.064208984;0.03955078;0.857666;0
30.992.368;270.229;-0.27480916;-0.068359376;0.04345703;0.869384768;0
31.221.372;3.221.374;-0.4427481;-0.072021484;0.0397949216;0.864501936;0
33.053.436;27.633.588;-0.389312984;-0.06591797;0.042236328;0.86083984;0
3.259.542;2.778.626;-0.2519084;-0.068603512;0.03857422;0.860351536;0
341.221.368;28.396.948;-0.16793894;-0.07446289;0.04248047;0.8679199;0
31.908.398;30.076.336;-0.396946584;-0.06616211;0.041015624;0.86621096;0
33.206.108;26.793.892;-0.07633588;-0.0617675768;0.045410156;0.8605957;0
31.755.726;27.328.244;-0.27480916;-0.06982422;0.03955078;0.86328124;0
31.068.702;28.931.298;-0.53435116;-0.068847656;0.037109376;0.8684082;0
3.221.374;3.076.336;-0.259542;-0.0637207;0.03955078;0.8630371;0
32.290.078;337.404.568;-0.343511468;-0.07006836;0.040283204;0.85717776;0
30.610.688;41.679.388;-0.458015268;-0.07055664;0.037841796;0.864501936;0
30.076.336;55.648.856;-0.389312984;-0.068115232;0.037109376;0.8659668;0
31.984.732;38.015.268;-0.206106868;-0.067871096;0.04296875;0.86157224;0
29.160.306;66.946.564;-0.3740458;-0.072021484;0.04321289;0.8574219;0
3.465.649;0.122137408;-0.2977099;-0.06591797;0.045410156;0.84643552;0
34.198.472;15.954.199;-0.3740458;-0.06762695;0.04321289;0.864501936;0
30.992.368;24.122.138;-0.122137408;-0.068847656;0.041015624;0.8540039;0
31.755.726;30.229.008;-0.419847336;-0.0637207;0.037109376;0.86206056;0
31.755.726;26.030.534;-0.67175576;-0.072509768;0.041503908;0.8574219;0
3.442.748;30.839.694;-0.5038168;-0.06933594;0.045166016;0.87231448;0
31.221.372;2.923.664;-0.244274816;-0.072509768;0.044189452;0.8466797;0
32.442.748;2.946.565;-0.45038168;-0.064941408;0.043945312;0.86279292;0
