gyro_x;gyro_y;gyro_z;accel_x;accel_y;accel_z;label
10320.611;8496.183;-3816.794;-0.010498047;0.030761718;0.815917936;1
69694.652;66412.216;18473.282;-0.056640624;0.079833984;0.83984376;1
1061.832;761832.036;-3335.878;-0.009033203;0.07324219;0.9621582;1
43587.784;-37633.588;-1870.229;-0.17407226;0.08666992;0.867431632;1
-29541.984;389312.984;10793.893;-0.115478516;0.12182617;0.8105469;1
-13969.465;7076.336;1619.084;0.05883789;0.06665039;0.8251953;1
12572.519;1648.855;0.60305348;0.168701168;0.041748048;0.95874024;1
10854.961;-0.99236643;-1891.603;0.05493164;0.06982422;0.8005371;1
44351.144;8328.244;-13297.709;-0.18139648;0.037841796;0.8376465;1
10679.389;54274.808;8763.359;-0.175292976;0.1496582;0.7507324;1
-66412.216;42137.404;18206.106;-0.06933594;0.07763672;0.8605957;1
-36183.208;57709.924;8053.435;0.11621094;0.052978516;0.9555664;1
0.53435116;-3908.397;-9251.908;0.07543945;0.03100586;0.9160156;1
75725.192;-31145.038;-2406.107;-0.024169922;0.05834961;0.81469732;1
9007.633;52290.076;-4587.786;-0.214111332;0.08227539;0.8696289;1
-11030.535;42442.748;9854.961;-0.15576172;0.095458984;0.8852539;1
-15366.412;35114.504;15709.924;-0.010253906;0.005126953;0.86083984;1
0.07633588;59465.648;47557.252;0.13183594;0.01171875;0.9741211;1
37175.572;-5374.046;-13969.465;0.10058594;0.006591797;0.8947754;1
1259.542;7442.748;-22114.504;-0.03515625;0.034179688;0.85595704;1
24503.818;10312.977;-62137.404;-0.2253418;0.033447264;0.8894043;1
-9106.871;63129.772;13122.137;-0.15307617;0.04272461;0.8947754;1
2778.626;18954.198;18404.582;-0.00048828124;0.004638672;0.832031236;1
14885.496;-39923.664;21984.732;0.10107422;0.015136719;0.961181632;1
6259.542;-389312.984;-1757.252;0.032714844;0.005859375;0.9614258;1
35038.168;-0.8778626;-2208.397;-0.110839836;0.023925782;0.80859376;1
54732.824;43129.772;0.10687023;-0.20141602;-0.0126953128;0.88305668;1
-2308.397;-80992.368;21793.894;-0.05810547;-0.045410156;0.9995117;1
54732.824;790076.336;17503.816;0.15820312;-0.04711914;0.9001465;1
22908.398;12251.908;-6816.794;0.14501953;-0.013671875;0.84716796;1
70916.032;2053.435;-2293.893;0.0014648438;0.0061035156;0.8129883;1
12992.367;13068.703;-10312.977;-0.1496582;0.037353516;0.75634768;1
-74656.488;-40229.008;6816.794;-0.171875;0.07836914;0.6586914;1
-9694.656;-0.4427481;24656.488;-0.08325195;0.036865236;0.8574219;1
14603.053;5778.626;16267.176;0.08911133;0.0034179688;0.92041016;1
-35114.504;-6038.168;-11267.176;0.049560548;-0.0075683592;0.9094238;1
10374.045;-2259.542;-18351.144;-0.0017089844;0.020751954;0.871582032;1
28778.628;0.83206104;-9923.664;-0.24023438;0.029052734;0.9655762;1
-18656.488;75648.856;54274.808;-0.08544922;0.020507812;0.8117676;1
-0.870229;-0.091603052;23099.238;0.010009766;0.04321289;0.7788086;1
10870.229;13282.443;3427.481;0.14770508;-0.020996094;0.9182129;1
64198.476;-54580.156;-2261.832;0.099609376;0.020996094;0.81884768;1
7885.496;11893.129;-23671.754;-0.040039064;-0.040283204;0.76831052;1
20358.778;-48702.292;10633.588;-0.24267578;0.111328132;0.71362308;1
-48778.624;-66946.564;27740.458;-0.091552732;-0.006591797;0.885498064;1
0.9312977;5068.702;1221.374;0.199218752;-0.037597656;0.996582032;1
14893.129;-0.3053435;-24793.894;0.1105957;-0.018554688;0.8391113;1
70916.032;10114.504;-27625.954;-0.10546875;0.0031738282;0.85180664;1
0.78625952;-14274.809;10030.535;-0.21118164;0.059570312;0.7807617;1
-36793.892;53511.452;28328.246;-0.02734375;-0.06689453;0.92407224;1
10992.366;10305.344;14015.267;0.19580078;-0.064697268;10083.008;1
17030.534;49541.984;-19183.206;0.091308592;0.036621092;0.8491211;1
3091.603;22824.428;-22977.098;-0.033691408;0.018066406;0.857666;1
679389.336;-0.9847328;-64351.144;-0.2397461;-0.0031738282;0.9272461;1
12236.641;5366.412;122595.416;-0.1394043;0.044677736;0.7915039;1
-11465.649;3931.298;15435.115;0.004638672;0.05834961;0.8989258;1
19564.886;13877.863;679389.336;0.13793946;0.064697268;0.9399414;1
41221.376;-8183.207;-15465.649;0.083496092;0.06298828;0.9147949;1
-20458.016;-0.389312984;-21030.534;0.023925782;0.026367188;0.74194332;1
-14114.504;10473.283;-17847.328;-0.2109375;-0.011230469;0.8635254;1
56488.548;8328.244;10694.656;-0.14550781;0.05517578;0.8461914;1
-0.32824428;-1540.458;18015.266;-0.05834961;0.040771484;0.90356448;1
12488.549;12816.793;11938.931;0.12646484;-0.0026855468;0.97314456;1
-45114.504;-3961.832;-16946.566;0.107666016;0.0026855468;0.885498064;1
9358.779;-0.60305348;-22946.566;-0.001953125;0.048828124;0.8305664;1
-0.099236648;12.0;-1419.084;-0.23413086;0.019042968;0.88671876;1
-7152.672;-179389.316;1912.977;-0.23242188;0.06591797;0.8779297;1
-8458.015;-42290.076;2487.023;0.020996094;-0.020263672;0.6569824;1
17015.266;17549.618;15549.619;0.1237793;0.026611328;10178.223;1
50458.016;-23664.122;-13938.931;0.08886719;0.016601562;0.93359376;1
0.29007636;-58702.292;-32458.016;0.0068359376;0.0053710936;0.8625488;1
385496.184;147786.252;-20694.656;-0.175537108;-0.011962891;0.888916;1
-28778.628;5671.756;8687.023;-0.183105468;0.06762695;0.7644043;1
9648.855;-2961.832;25854.962;-0.103271484;0.035888672;0.8930664;1
-6038.168;60305.344;17992.366;0.087402344;0.033203124;0.93847656;1
40152.676;-34198.472;-30610.688;0.11621094;0.048828124;0.87060544;1
16755.726;0.396946584;-12534.351;0.0234375;0.017333984;0.86572264;1
32442.748;71221.376;-20274.808;-0.16601562;0.041503908;0.8618164;1
-14961.832;-2946.565;1648.855;-0.21362304;0.067871096;0.797851568;1
0.732824436;79389.316;22091.602;-0.0053710936;-0.02734375;0.89282224;1
12526.717;-62061.068;14458.015;0.09643555;0.0053710936;0.84350584;1
10603.053;0.396946584;-64198.476;0.091552732;0.005859375;0.9248047;1
62442.748;42824.424;-19633.586;0.017333984;-0.0017089844;0.8779297;1
-44351.144;10725.191;-18946.566;-0.17822266;0.005859375;0.8317871;1
-107404.584;17099.236;12961.832;-0.15991211;0.038085936;0.7907715;1
16152.672;1480.916;3351.145;-0.07836914;-0.02758789;0.9802246;1
-19290.078;6145.038;65114.504;0.0637207;0.00390625;0.9316406;1
48778.624;-16213.742;-23740.458;0.056884764;0.0146484368;0.8588867;1
45496.184;-17709.924;-11564.885;0.040527344;0.020263672;0.8183594;1
11282.443;12519.084;-4076.336;-0.12646484;-0.012451172;0.891601536;1
-5854.962;-0.419847336;4374.046;-0.080566408;0.044921876;0.8066406;1
721374.036;6374.046;15358.779;-0.051513672;0.10229492;0.8120117;1
5633.588;0.9160305;-11832.061;0.1352539;0.017333984;0.9038086;1
134198.472;0.4351145;-11832.061;0.064941408;0.05029297;0.8703613;1
45267.176;59160.304;-20328.246;-0.07788086;0.022705078;0.7976074;1
37557.252;-6221.374;2091.603;-0.198730468;0.0925293;0.77783203;1
-8206.107;-0.7251908;19343.512;-0.072753908;0.03491211;0.9030762;1
30839.694;-2221.374;11343.512;0.11279297;0.030273438;0.8544922;1
-10534.351;-32366.412;-14541.985;0.14868164;0.033935548;0.8876953;1
880.916;71984.732;-24076.336;-0.0146484368;0.036132812;0.7963867;1
-0.6259542;16793.894;-13229.008;-0.26489258;0.024658204;0.9609375;1
-0.3053435;2664.122;24541.984;-0.15429688;-0.0034179688;0.8613281;1
-8137.404;12282.443;21030.534;0.0390625;-0.09008789;0.92871096;1
17152.672;18137.406;11572.519;0.10498047;0.030761718;0.9165039;1
56564.884;-37480.916;-9022.901;0.103515624;-0.010498047;0.84594728;1
11938.931;6625.954;-18419.848;0.005126953;0.061279296;0.8383789;1
9053.435;18091.602;-15977.099;-0.22558594;0.014160156;0.86328124;1
-4664.122;-44580.156;726717.536;-0.16723633;0.075927736;0.6623535;1
-154198.468;-710.687;15564.885;-0.048095704;-0.0009765625;0.9370117;1
20816.794;13847.328;17526.718;0.0146484368;0.017822266;0.8786621;1
0.045801528;-47175.576;0.465648868;0.13574219;-0.008056641;0.8864746;1
58015.264;-31984.732;-18580.152;0.076416016;0.033203124;0.8725586;1
2664.122;70916.032;-23503.816;-0.07299805;-0.00390625;0.8417969;1
13236.641;14885.496;-9167.939;-0.2319336;-0.032958984;0.83569336;1
-27480.916;-29694.658;10625.955;-0.198486332;0.014404297;0.78027348;1
38396.948;170.229;155801.532;-0.076171868;0.048583984;0.8457031;1
670.229;0.58778624;9839.695;0.036865236;0.0026855468;0.907714832;1
-1870.229;-43129.772;-610.687;0.10473633;0.044921876;0.8417969;1
10106.871;-6374.046;-15793.893;-0.03491211;0.04272461;0.8757324;1
-0.9160305;9152.672;-102595.416;-0.13330078;-0.013916016;0.84277348;1
26030.534;53816.796;9503.817;-0.16577148;0.08666992;0.76782224;1
-7923.664;-47480.916;21755.726;-0.02319336;-0.016601562;0.913818336;1
56946.564;9610.687;13160.305;0.12841797;0.004638672;0.92163084;1
56106.872;-0.77099232;-11442.748;0.08251953;0.018066406;0.9416504;1
27480.916;-23587.788;-22656.488;-0.0126953128;0.03881836;0.8708496;1
47480.916;13954.199;-15290.076;-0.1274414;0.0146484368;0.78222652;1
21221.372;-13435.115;56106.872;-0.190917968;0.057617188;0.82055668;1
-2778.626;-117404.584;23824.426;-0.048583984;0.00024414064;0.91503908;1
-0.5114504;41679.388;12877.863;0.07324219;0.064453124;0.931884736;1
2610.687;-0.458015268;-29312.978;0.10546875;0.025634766;0.9135742;1
-10992.366;-18625.954;-21007.634;0.08178711;0.00048828124;0.83740232;1
13763.359;145801.532;-10450.381;-0.17333984;-0.04321289;0.9145508;1
-46106.872;721374.036;13732.824;-0.14257812;0.032714844;0.8132324;1
-729007.636;10977.099;15007.633;-0.0021972656;-0.012207031;0.91430664;1
2480.916;-71984.732;36183.208;0.1340332;0.0041503908;0.880615232;1
779389.336;-0.183206116;-15427.481;0.078125;-0.0031738282;0.93310544;1
1059.542;11534.351;-19664.122;-0.029541016;0.00048828124;0.84350584;1
1221.374;13206.106;-40076.336;-0.24023438;-0.041503908;0.9255371;1
-94198.472;62442.748;175572.516;-0.13305664;-0.015380859;0.9140625;1
0.396946584;0.35114504;1906.107;0.026855468;-0.030761718;0.8515625;1
14343.512;54961.832;21908.398;0.1652832;-0.018066406;0.9370117;1
70534.352;-7961.832;-142595.432;0.05126953;0.007080078;0.8659668;1
18007.634;12374.045;-1625.191;-0.029541016;0.0253906252;0.77856448;1
6183.206;45801.524;0.6183206;-0.20507812;0.02709961;0.8095703;1
-69923.668;35114.504;25358.778;-0.018066406;-0.043701172;0.860351536;1
47862.596;13152.672;12412.213;0.15039062;-0.07714844;0.90844728;1
42900.764;48015.264;-10755.725;0.10424805;-0.013427734;0.931884736;1
11396.947;-13664.122;-23114.504;-0.041748048;0.009277344;0.8491211;1
30152.672;9587.787;-73053.436;-0.198730468;-0.020751954;0.876709;1
-11396.947;8458.015;17847.328;-0.13598633;-0.011962891;0.8540039;1
0.8549618;559.542;181603.052;-0.03466797;-0.022216796;0.9025879;1
9229.008;-0.396946584;-0.015267176;0.12817383;-0.026855468;0.96191408;1
838.168;-980.916;-19770.992;0.05883789;0.008300781;0.83569336;1
13969.466;-32519.084;-25564.886;-0.05102539;0.035888672;0.8388672;1
32900.762;11458.015;-8702.291;-0.24389648;0.0;0.8757324;1
-14427.481;69694.652;13541.985;-0.183593744;0.03491211;0.7780762;1
1480.916;12038.168;25732.824;-0.10791016;0.067871096;0.878417968;1
-380916.032;31603.052;60534.352;0.12036133;0.018798828;0.95532224;1
14961.832;2038.168;-13954.199;0.103027348;-0.010009766;0.95092776;1
24580.152;-26717.558;-23900.762;0.010253906;-0.012207031;0.8503418;1
-50458.016;-0.5648855;-13664.123;-0.176513668;-0.009033203;0.885498064;1
678625.968;61374.044;12977.099;-0.176269532;0.044189452;0.8105469;1
-55801.524;49007.636;17030.534;-0.028076172;-0.05419922;0.86279292;1
-0.229007632;12290.076;1019.084;0.08666992;-0.025146484;0.9680176;1
10946.565;2206.107;-8992.367;0.072265624;0.004638672;0.9328613;1
10488.549;-15419.847;-18534.352;-0.00024414064;0.03466797;0.86499024;1
-44274.808;3053.435;-18435.114;-0.16088867;0.0043945312;0.87060544;1
17564.886;60534.352;61297.708;-0.214843736;0.03515625;0.7583008;1
-12183.207;-20458.016;26671.754;-0.06689453;-0.006591797;0.8737793;1
17633.588;13908.397;20343.512;0.03955078;-0.0041503908;0.9147949;1
9083.969;171755.732;-8770.992;0.11352539;-0.03515625;0.925781264;1
15885.496;-24961.832;-24358.778;0.04296875;0.013916016;0.80566408;1
-185496.184;-55114.504;-22564.886;-0.13305664;0.0063476564;0.851318336;1
-11450.381;8038.168;4114.504;-0.15209961;0.05908203;0.7536621;1
-6885.496;32748.092;20549.618;-0.06542969;0.008544922;0.892334;1
171603.052;10053.435;21961.832;0.0146484368;0.04345703;0.8588867;1
-45419.844;-50992.364;-49847.324;0.09863281;0.0048828124;0.90405272;1
-14045.801;-11229.008;-19877.862;0.06616211;0.014404297;0.894531264;1
16.0;8931.297;-16374.046;-0.05859375;0.029296875;0.8093262;1
102213.748;3687.023;2038.168;-0.23461914;0.04736328;0.7648926;1
-57175.576;26335.878;20671.754;-0.040039064;-0.030029296;0.7907715;1
4145.038;25801.528;19465.648;0.07324219;0.008544922;10112.305;1
31450.382;0.90076332;-8496.183;0.14770508;0.0043945312;0.832031236;1
-20076.336;4221.374;-20770.992;-0.033203124;0.0007324219;0.9975586;1
-2946.565;370992.368;-15885.496;-0.18823242;-0.012939453;0.85302732;1
24503.818;9969.465;11923.664;-0.14990234;0.012451172;0.8005371;1
-0.366412232;13854.961;18076.336;-0.012207031;-0.05859375;0.9724121;1
35801.528;2687.023;2167.939;0.16577148;0.01171875;0.8508301;1
75038.168;-11175.572;-14870.229;0.10131836;0.016113282;0.79052732;1
9679.389;9534.351;-18.0;-0.1105957;-0.0087890624;0.992431632;1
878.626;8038.168;-6076.336;-0.26000976;0.03100586;0.8823242;1
10358.779;43816.796;26885.496;-0.10986328;0.013183594;0.7512207;1
-10496.183;725190.836;11946.565;0.056152344;0.028076172;0.920166;1
0.9541985;-52671.756;-75267.176;0.08520508;-0.04663086;0.95043944;1
-10992.366;-0.6793893;-19091.602;0.041503908;-0.0253906252;0.8708496;1
0.7099237;52061.068;-15129.771;-0.12646484;-0.03149414;0.826416;1
0.35877864;12564.885;18587.786;-0.07324219;0.024169922;0.91625976;1
2335.878;-240.458;20625.954;-0.006591797;-0.022460938;0.9394531;1
-40458.016;15496.184;3946.565;0.1772461;-0.03149414;0.880615232;1
39007.632;-31221.372;-16267.176;0.13916016;-0.026367188;0.85961912;1
6725.191;6366.412;-23931.298;0.017089844;-0.030517578;0.858398464;1
-11984.733;8183.207;-42290.076;-0.22094726;-0.028808594;0.7976074;1
3038.168;10167.939;1867.939;-0.104003908;-0.028564454;0.8544922;1
-9938.931;21908.398;1061.832;0.060791016;-0.044189452;0.88183592;1
119007.632;43969.464;21908.398;0.14135742;-0.078125;0.9902344;1
17213.742;-74885.496;-14335.877;0.012451172;-0.04345703;0.92822264;1
339694.668;-64580.156;-19961.832;0.00048828124;0.033447264;0.7470703;1
-0.8167939;689.313;-759.542;-0.16601562;-0.036621092;0.811035136;1
-181603.052;7625.954;19007.634;-0.13745117;0.06298828;0.7800293;1
18152.672;6068.702;224427.484;-0.005126953;-0.0461425784;0.8625488;1
-40076.336;-45419.844;75114.504;0.14135742;0.014404297;0.873291;1
64580.156;-3778.626;-74885.496;0.061035156;-0.045654296;0.9411621;1
10824.428;-29694.658;-16847.328;0.012207031;-0.04663086;0.8996582;1
79465.648;59160.304;-9435.115;-0.061035156;-0.0126953128;0.78125;1
12137.405;-0.3816794;26793.892;-0.1394043;0.0476074216;0.7561035;1
-3870.229;5740.458;16343.512;-0.051513672;-0.0012207031;0.8647461;1
-44656.488;35038.168;14946.565;0.056884764;-0.026855468;0.88427736;1
51297.708;5854.962;-10839.695;0.107421868;-0.072021484;0.9440918;1
8389.313;-68015.268;-18114.504;0.06982422;0.0017089844;0.85498052;1
0.26717558;0.7099237;-18152.672;-0.020996094;0.009277344;0.8066406;1
0.32061068;55801.524;-1559.542;-0.14453125;-0.029541016;0.8676758;1
34961.832;43511.452;12755.725;-0.15625;0.019042968;0.9165039;1
-717557.236;-0.9847328;15389.313;0.044433592;-0.020751954;0.9123535;1
6114.504;63511.452;24122.138;0.176757808;-0.040283204;0.907959;1
79847.332;-56793.896;-1780.916;0.07470703;-0.00048828124;0.8400879;1
10541.985;40152.676;-18709.922;-0.06616211;0.021728516;0.82250976;1
-2038.168;16259.542;-8931.297;-0.19604492;-0.017333984;0.86157224;1
-43511.452;0.99236643;11885.496;-0.12670898;-0.018310546;0.8996582;1
7633.588;745801.536;18412.214;0.026367188;-0.029541016;0.936035136;1
-12290.076;-3259.542;1091.603;0.1574707;-0.03149414;0.85717776;1
8152.672;-67175.576;-10931.297;0.0769043;-0.015136719;0.90722652;1
40458.016;0.343511468;-15572.519;-0.0061035156;-0.017089844;0.876464832;1
18625.954;9328.244;-510.687;-0.15063476;0.005859375;0.87475584;1
-0.35114504;9511.451;12496.183;-0.071777348;-0.005126953;0.8293457;1
2076.336;28778.628;1861.832;0.017089844;0.022216796;0.8835449;1
47633.584;5480.916;-0.129771;0.1171875;-0.03149414;0.88378904;1
2259.542;-49923.664;-16152.672;0.0766601536;-0.013427734;0.8769531;1
20152.672;31145.038;-20114.504;-0.032714844;-0.022216796;0.8251953;1
10702.291;57099.236;-1129.771;-0.16772461;-0.008056641;0.8613281;1
770.229;70229.008;20992.366;0.059326172;-0.02709961;0.890625;1
-25496.182;2427.481;34961.832;0.1628418;-0.061279296;0.8979492;1
21603.052;-65343.512;-14603.053;0.10424805;-0.037109376;0.8601074;1
270.229;29541.984;-18595.418;-0.059326172;-0.06274414;0.9025879;1
78015.268;9320.611;-17633.588;-0.18725586;0.001953125;0.81689452;1
14351.145;15419.847;15694.656;-0.08129883;-0.05908203;0.8391113;1
79083.968;21526.718;171603.052;0.049072264;-0.05126953;0.920898464;1
0.8854962;-2870.229;-2648.855;0.10864258;-0.048095704;0.9055176;1
16717.557;-1259.542;-19305.344;0.043701172;-0.0043945312;0.80444332;1
6152.672;0.67175576;-13572.519;-0.11303711;-0.049072264;0.889648464;1
-0.53435116;76030.536;717557.236;-0.10546875;0.010986328;0.8166504;1
-0.66412216;7335.878;16152.672;0.0053710936;-0.03930664;0.9272461;1
-0.061068704;-2465.649;67175.576;0.13720703;-0.051513672;0.904785136;1
54580.156;-674809.136;-55801.524;0.09082031;-0.03930664;0.9091797;1
-23816.792;-32671.756;-16641.222;0.018554688;-0.0383300768;0.8840332;1
774809.136;8183.207;-12541.985;-0.11206055;-0.06542969;0.9243164;1
11549.619;7068.702;24503.818;-0.12475586;-0.022216796;0.7609863;1
-18396.946;27862.596;11244.275;-0.12207031;-0.061035156;0.9160156;1
32824.428;0.10687023;7145.038;0.119384768;-0.037353516;0.873291;1
52519.084;-39770.992;-690076.336;0.0949707;-0.041748048;0.88842776;1
14885.496;31068.702;-17358.778;-0.004638672;-0.028320312;0.9484863;1
-32137.404;0.366412232;-144198.468;-0.13769531;-0.09448242;0.8544922;1
37251.908;11450.381;37251.908;-0.15576172;-0.043701172;0.81640624;1
-61679.388;105801.528;17541.984;-0.07446289;-0.0126953128;0.83496092;1
683206.136;67557.256;15290.076;0.052490236;-0.033935548;0.9309082;1
3259.542;-32137.404;-1480.916;0.099853512;-0.053222656;0.909667936;1
44198.476;-46106.872;-13694.656;0.059326172;-0.037841796;0.9277344;1
13374.045;8916.031;-14870.229;-0.026855468;-0.048828124;0.8754883;1
5480.916;49389.316;-46030.536;-0.18603516;-0.04248047;0.84350584;1
-15343.511;61374.044;9274.809;-0.07421875;-0.022460938;0.8666992;1
15267.176;0.10687023;9442.748;-0.009765625;-0.044433592;0.9416504;1
29847.328;8549.619;8572.519;0.043945312;-0.049316408;0.9526367;1
-16717.557;-66946.564;-47938.932;0.072509768;-0.057861328;0.86083984;1
5374.046;52442.748;-17267.176;0.014160156;-0.045898436;0.8688965;1
8175.572;8732.824;-12450.381;-0.10131836;-0.04272461;0.8034668;1
53893.128;55114.504;59007.636;-0.13696289;-0.075683592;0.828125;1
682442.736;37557.252;16725.192;-0.09375;-0.04638672;0.9387207;1
-10335.877;16580.152;25038.168;0.013427734;-0.05444336;0.80444332;1
-21068.702;-72290.077;9236.641;0.15576172;-0.040527344;0.9404297;1
367175.584;-22748.092;-11427.481;0.1159668;-0.05859375;0.85302732;1
55648.856;1259.542;-17122.138;-0.05834961;-0.07788086;0.826416;1
50305.344;9045.801;-6328.244;-0.18579102;-0.059814452;0.8425293;1
7442.748;59694.656;16519.083;-0.1303711;-0.028564454;0.89624024;1
-8946.565;31068.702;16778.626;0.026367188;-0.051757812;0.8725586;1
48015.264;16183.206;30687.022;0.12036133;-0.04321289;0.876709;1
65343.512;-0.366412232;-12679.389;0.068359376;-0.03857422;0.8869629;1
4854.962;559.542;-15435.115;-0.099365232;-0.07836914;0.88134768;1
10045.801;6816.794;4854.962;-0.09692383;-0.012451172;0.711181636;1
6931.298;60610.684;13549.619;-0.059570312;-0.043945312;0.8833008;1
0.1908397;-27633.588;11435.115;0.045410156;-0.02709961;0.916748064;1
77633.584;0.2519084;-2816.794;0.06640625;-0.038085936;0.89941408;1
62748.092;0.6183206;-13122.137;-0.010009766;-0.019042968;0.87402344;1
5374.046;9511.451;-69541.984;-0.114746092;-0.024658204;0.8486328;1
24732.824;75038.168;69465.648;-0.07446289;-0.00366210936;0.8654785;1
-25419.848;65038.168;10122.137;-0.029052734;-0.016113282;0.8847656;1
-26717.558;39923.664;716793.836;0.104003908;-0.044433592;0.980468736;1
69541.984;-0.8396947;-9312.977;0.035888672;-0.03564453;0.92163084;1
66488.548;8770.992;-15954.199;-0.059814452;-0.013183594;0.8017578;1
23282.442;2519.084;-9641.221;-0.19677734;0.0017089844;0.83374024;1
23587.788;-340.458;14488.549;-0.091796872;-0.01953125;0.88623048;1
-47480.916;16183.206;15702.291;0.028076172;-0.05834961;0.89941408;1
385496.184;12442.748;-35419.848;0.0715332;-0.06640625;0.97143552;1
-0.343511468;-52519.084;-214809.168;-0.013183594;-0.03515625;0.9345703;1
32748.092;2870.229;-14473.283;-0.09692383;-0.056884764;0.8515625;1
8961.832;719.084;12519.084;-0.12646484;-0.040771484;0.8574219;1
-51984.736;8641.221;7335.878;-0.11230469;-0.0007324219;0.8083496;1
74503.816;7847.328;150992.368;-0.05419922;-0.024902344;0.91259768;1
-43969.464;15519.084;10984.733;0.028076172;-0.014404297;0.92041016;1
3259.542;-0.8854962;0.488549632;0.09667969;-0.0476074216;0.9091797;1
61221.376;-15267.176;-1619.084;0.0461425784;-0.029052734;0.9020996;1
62519.084;63587.784;-21358.778;-0.049804688;-0.036865236;0.769531236;1
10610.687;185496.184;-559.542;-0.22021484;-0.04345703;0.873535168;1
-8541.985;9251.908;18137.406;-0.052734376;-0.04638672;0.8796387;1
-14274.809;22442.748;13366.412;-0.014892578;0.017822266;0.922851568;1
